,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion
72,3499 S Figueroa St,USC,CA,90089,6,05:44:00,8,,,False,False,False,4249,Active,FullService,,Figueroa & McCarthy Way,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.0203,-118.28118,False,4,0,2,False,2.174.257
73,804 W Adams Blvd,USC,CA,90007,6,05:44:00,9,,,False,False,False,4250,Active,FullService,,Severance & Adams,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03017,-118.28095,False,6,0,0,False,2.174.257
74,2817 Hoover St,USC,CA,90007,12,05:44:00,3,,,False,False,False,4254,Active,FullService,,Hoover & 29th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02868,-118.28411,False,12,0,0,False,2.174.257
75,6020 Seabluff Dr,Playa Vista,CA,90094,5,05:44:00,5,,,False,False,False,4255,Unavailable,FullService,,Seabluff & Runway,,05:45:00,,Pacific Standard Time,10,0,Unresponsive,1,33.97366,-118.42286,False,4,0,1,False,2.174.257
76,613 W 28th St,USC,CA,90007,6,05:44:00,9,,,False,False,False,4266,Active,FullService,,28th & Figueroa,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02629,-118.27769,False,6,0,0,False,2.174.257
77,737 W 28th St,USC,CA,90007,8,05:44:00,2,,,False,False,False,4267,Active,FullService,,28th & University,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.02762,-118.28068,False,8,0,0,False,2.174.257
78,3175 South Hoover Street,USC,CA,90007,5,05:44:00,10,,,False,False,False,4273,Active,FullService,,Hoover & 32nd,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02586,-118.2841,False,5,0,0,False,2.174.257
79,Southwest Stadium Entrance,USC,CA,90037,11,05:44:00,4,,,False,False,False,4275,Active,FullService,,Expo Park/LAFC,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.01252,-118.2859,False,10,0,1,False,2.174.257
80,300 S Westlake Ave,Westlake,CA,90057,6,05:44:00,4,,,False,False,False,4293,Active,FullService,,Westlake & 3rd,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.06228,-118.27152,False,4,0,2,False,2.174.257
81,1552 W Olympic Blvd,Westlake,CA,90015,11,05:44:00,3,,,False,False,False,4300,Active,FullService,,Union & Olympic,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.04887,-118.2743,False,8,0,3,False,2.174.257
82,4698-4680 Maubert Ave,Los Feliz,CA,90027,5,05:44:00,5,,,False,False,False,4301,Active,FullService,,Maubert & Vermont,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09905,-118.2915,False,5,0,0,False,2.174.257
83,1150 N Vermont Ave,Los Feliz,CA,90029,6,05:44:00,3,,,False,False,False,4302,Active,FullService,,Vermont Pl & Vermont ,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09249,-118.29144,False,5,0,1,False,2.174.257
