,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion,geometry
12,111 N Hope St,DTLA,CA,90012,5,05:44:00,12,,,False,False,False,3024,Active,FullService,,Hope & 1st,,05:45:00,,Pacific Standard Time,17,0,Active,1,34.05772,-118.24897,False,5,0,0,False,2.174.257,POINT (-118.24897 34.05772)
13,1014 S Grand Ave,DTLA,CA,90015,5,05:44:00,10,,,False,False,False,3025,Active,FullService,,Grand & Washington,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03286,-118.26808,False,5,0,0,False,2.174.257,POINT (-118.26808 34.03286)
14,668 N Figueroa Street,Chinatown,CA,90012,8,05:44:00,7,,,False,False,False,3026,Active,FullService,,Figueroa & Cesar Chavez,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06318,-118.24588,False,7,0,1,False,2.174.257,POINT (-118.24588 34.06318)
15,300 S Spring Street,DTLA,CA,90013,5,05:44:00,10,,,False,False,False,3027,Active,FullService,,Spring & 3rd,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04998,-118.24716,False,5,0,0,False,2.174.257,POINT (-118.24716 34.04998)
16,310 N Grand Ave,DTLA,CA,90012,5,05:44:00,11,,,False,False,False,3028,Active,FullService,,Grand & Temple,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.05832,-118.24609,False,4,0,1,False,2.174.257,POINT (-118.24609 34.05832)
17,120 S Main Street,DTLA,CA,90012,15,05:44:00,14,,,False,False,False,3030,Active,FullService,,Main & 1st,,05:45:00,,Pacific Standard Time,29,0,Active,1,34.05194,-118.24353,False,11,0,4,False,2.174.257,POINT (-118.24353 34.05194)
18,7th & Spring St.,DTLA,CA,90014,22,05:44:00,4,,,False,False,False,3031,Active,FullService,,7th & Spring,,05:45:00,,Pacific Standard Time,26,0,Active,1,34.0447,-118.25244,False,22,0,0,False,2.174.257,POINT (-118.25244 34.0447)
19,557 S Hope Street,DTLA,CA,90071,15,05:44:00,16,,,False,False,False,3032,Active,FullService,,Hope & 6th,,05:45:00,,Pacific Standard Time,31,0,Active,1,34.04989,-118.25588,False,15,0,0,False,2.174.257,POINT (-118.25588 34.04989)
20,110 E 9th Street,DTLA,CA,90079,11,05:44:00,4,,,False,False,False,3033,Active,FullService,,Main & 9th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04099,-118.2558,False,10,0,1,False,2.174.257,POINT (-118.2558 34.04099)
21,1113 S Hope St,DTLA,CA,90015,18,05:44:00,10,,,False,False,False,3034,Active,FullService,,Hope & 11th,,05:45:00,,Pacific Standard Time,29,0,Active,1,34.04206,-118.26338,False,16,0,2,False,2.174.257,POINT (-118.26338 34.04206)
22,Reinstalled 6/15,DTLA,CA,90017,4,05:44:00,19,,,False,False,False,3035,Active,FullService,,Figueroa & 8th,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.0484,-118.26095,False,4,0,0,False,2.174.257,POINT (-118.26095 34.0484)
23,1301 Willow Street,DTLA,CA,90013,12,05:44:00,7,,,False,False,False,3036,Active,FullService,,Willow St & Mateo St,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03919,-118.23253,False,12,0,0,False,2.174.257,POINT (-118.23253 34.03919)
24,699 S Imperial St,DTLA,CA,90021,13,05:44:00,7,,,False,False,False,3037,Active,FullService,,Imperial & 7th,,05:45:00,,Pacific Standard Time,20,0,Active,1,34.0348,-118.23128,False,12,0,1,False,2.174.257,POINT (-118.23128 34.0348)
25,1234 Wilshire Blvd,Westlake,CA,90017,5,05:44:00,4,,,False,False,False,3040,Active,FullService,,Wilshire & Witmer,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.05357,-118.26636,False,5,0,0,False,2.174.257,POINT (-118.26636 34.05357)
26,369 E First Street,DTLA,CA,90012,16,05:44:00,11,,,False,False,False,3042,Active,FullService,,1st & Central,,05:45:00,,Pacific Standard Time,28,0,Active,1,34.0493,-118.23881,False,16,0,0,False,2.174.257,POINT (-118.23881 34.0493)
27,1850 San Pedro St,DTLA,CA,90015,5,05:44:00,9,,,False,False,False,3045,Active,FullService,,18th & San Pedro,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.02851,-118.25667,False,4,0,1,False,2.174.257,POINT (-118.25667 34.02851)
28,201 South Hill Street,DTLA,CA,90021,12,05:44:00,5,,,False,False,False,3046,Active,FullService,,2nd & Hill,,05:45:00,,Pacific Standard Time,17,0,Active,1,34.05287,-118.24749,False,12,0,0,False,2.174.257,POINT (-118.24749 34.05287)
29,515 W Pico Street,DTLA,CA,90015,15,05:44:00,21,,,False,False,False,3047,Active,FullService,,Pico & Flower,,05:45:00,,Pacific Standard Time,36,0,Active,1,34.03998,-118.2664,False,7,0,8,False,2.174.257,POINT (-118.2664 34.03998)
30,1210 East 5th Street,DTLA,CA,90013,8,05:44:00,8,,,False,False,False,3048,Active,FullService,,5th & Hewitt,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.04169,-118.23535,False,7,0,1,False,2.174.257,POINT (-118.23535 34.04169)
31,945 W 2nd Street,DTLA,CA,90012,4,05:44:00,14,,,False,False,False,3049,Active,FullService,,2nd & Figueroa,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.05697,-118.25359,False,4,0,0,False,2.174.257,POINT (-118.25359 34.05697)
32,1107 W 7th Street,Westlake,CA,90017,18,05:44:00,16,,,False,False,False,3052,Active,FullService,,7th & Bixel,,05:45:00,,Pacific Standard Time,34,0,Active,1,34.0511,-118.26456,False,16,0,2,False,2.174.257,POINT (-118.26456 34.0511)
33,1245 Factory Place,DTLA,CA,90013,8,05:44:00,11,,,False,False,False,3054,Active,FullService,,Factory Place & Alameda,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03922,-118.23649,False,8,0,0,False,2.174.257,POINT (-118.23649 34.03922)
34,1375 S Grand Ave,DTLA,CA,90015,9,05:44:00,5,,,False,False,False,3056,Active,FullService,,Grand & 14th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03746,-118.26538,False,8,0,1,False,2.174.257,POINT (-118.26538 34.03746)
35,1855 Industrial Street,DTLA,CA,90021,12,05:44:00,3,,,False,False,False,3058,Active,FullService,,Industrial St & Mateo St,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.0358,-118.23317,False,11,0,1,False,2.174.257,POINT (-118.23317 34.0358)
36,350 E Third Street,DTLA,CA,90013,9,05:44:00,6,,,False,False,False,3062,Active,FullService,,3rd & San Pedro,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04775,-118.24317,False,6,0,3,False,2.174.257,POINT (-118.24317 34.04775)
37,532 W Olive Street,DTLA,CA,90013,7,05:44:00,15,,,False,False,False,3063,Active,FullService,,Pershing Square,,05:45:00,,Pacific Standard Time,22,0,Active,1,34.04804,-118.25374,False,7,0,0,False,2.174.257,POINT (-118.25374 34.04804)
38,786 S Grand Ave,DTLA,CA,90017,3,05:44:00,15,,,False,False,False,3064,Active,FullService,,Grand & 8th,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.04613,-118.25759,False,2,0,1,False,2.174.257,POINT (-118.25759 34.04613)
39,725 New High Street,Chinatown,CA,90012,10,05:44:00,5,,,False,False,False,3065,Active,FullService,,New High & Ord,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06056,-118.23833,False,10,0,0,False,2.174.257,POINT (-118.23833 34.06056)
40,870 N Spring Street,Chinatown,CA,90012,10,05:44:00,5,,,False,False,False,3066,Active,FullService,,Spring & College,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06339,-118.23616,False,8,0,2,False,2.174.257,POINT (-118.23616 34.06339)
41,250 S Grand Ave,DTLA,CA,90012,5,05:44:00,9,,,False,False,False,3068,Active,FullService,,Grand & 3rd,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.0532,-118.25095,False,5,0,0,False,2.174.257,POINT (-118.25095 34.0532)
42,303 S Broadway Street,DTLA,CA,90013,16,05:44:00,7,,,False,False,False,3069,Active,FullService,,Broadway & 3rd,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.05088,-118.24825,False,16,0,0,False,2.174.257,POINT (-118.24825 34.05088)
43,960 S Hope Street,DTLA,CA,90015,12,05:44:00,10,,,False,False,False,3074,Active,FullService,,Hope & Olympic,,05:45:00,,Pacific Standard Time,22,0,Active,1,34.04417,-118.26117,False,12,0,0,False,2.174.257,POINT (-118.26117 34.04417)
44,902 South Broadway,DTLA,CA,90015,5,05:44:00,11,,,False,False,False,3075,Active,FullService,,Broadway & 9th,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.04211,-118.25619,False,5,0,0,False,2.174.257,POINT (-118.25619 34.04211)
45,201 East 9th Street,DTLA,CA,90015,11,05:44:00,4,,,False,False,False,3076,Active,FullService,,9th & Los Angeles,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.0406,-118.25384,False,11,0,0,False,2.174.257,POINT (-118.25384 34.0406)
46,517 East 8th Street,DTLA,CA,90014,9,05:44:00,6,,,False,False,False,3077,Active,FullService,,8th & Wall,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03987,-118.25004,False,8,0,1,False,2.174.257,POINT (-118.25004 34.03987)
47,881 N Hill Street,Chinatown,CA,90012,3,05:44:00,12,,,False,False,False,3078,Active,FullService,,Hill & College,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06428,-118.23894,False,3,0,0,False,2.174.257,POINT (-118.23894 34.06428)
48,720 E Temple St,DTLA,CA,90012,12,05:44:00,2,,,False,False,False,3079,Active,FullService,,Temple & Vignes,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.05014,-118.23319,False,12,0,0,False,2.174.257,POINT (-118.23319 34.05014)
49,800 E 12th Street,DTLA,CA,90021,5,05:44:00,9,,,False,False,False,3081,Active,FullService,,Stanford & 12th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03189,-118.25018,False,4,0,1,False,2.174.257,POINT (-118.25018 34.03189)
50,599 Traction Ave,DTLA,CA,90013,14,05:44:00,13,,,False,False,False,3082,Active,FullService,,Traction & Rose,,05:45:00,,Pacific Standard Time,27,0,Active,1,34.04652,-118.23741,False,14,0,0,False,2.174.257,POINT (-118.23741 34.04652)
51,1222 Abbot Kinney Blvd,Venice,CA,90291,7,05:44:00,17,,,False,False,False,4202,Active,FullService,,Abbot Kinney & Cadiz,,05:45:00,,Pacific Standard Time,24,0,Active,1,33.99116,-118.46829,False,7,0,0,False,2.174.257,POINT (-118.46829 33.99116)
52,2901 W Washington Blvd,Venice,CA,90292,9,05:44:00,7,,,False,False,False,4204,Active,FullService,,Washington & Abbot Kinney,,05:45:00,,Pacific Standard Time,16,0,Active,1,33.98842,-118.45163,False,8,0,1,False,2.174.257,POINT (-118.45163 33.98842)
53,923 Venice Blvd,Venice,CA,90291,8,05:44:00,8,,,False,False,False,4205,Active,FullService,,Venice & Lincoln,,05:45:00,,Pacific Standard Time,16,0,Active,1,33.99377,-118.45367,False,7,0,1,False,2.174.257,POINT (-118.45367 33.99377)
54,1000 California Ave,Venice,CA,90291,9,05:44:00,21,,,False,False,False,4206,Active,FullService,,California & Lincoln,,05:45:00,,Pacific Standard Time,30,0,Active,1,33.99834,-118.46101,False,7,0,2,False,2.174.257,POINT (-118.46101 33.99834)
55,715 Rose Ave,Venice,CA,90291,10,05:44:00,12,,,False,False,False,4207,Active,FullService,,Rose & 7th,,05:45:00,,Pacific Standard Time,22,0,Active,1,34.00088,-118.46891,False,10,0,0,False,2.174.257,POINT (-118.46891 34.00088)
56,529 Rose Ave,Venice,CA,90291,6,05:44:00,15,,,False,False,False,4208,Active,FullService,,Rose & Rennie,,05:45:00,,Pacific Standard Time,21,0,Active,1,33.99868,-118.47298,False,5,0,1,False,2.174.257,POINT (-118.47298 33.99868)
57,200 Rose Ave,Venice,CA,90291,12,05:44:00,11,,,False,False,False,4209,Active,FullService,,Rose & Main,,05:45:00,,Pacific Standard Time,23,0,Active,1,33.99624,-118.47745,False,12,0,0,False,2.174.257,POINT (-118.47745 33.99624)
58,2100 Ocean Front Walk,Venice,CA,90291,12,05:44:00,3,,,False,False,False,4210,Active,FullService,,Ocean Front Walk & North Venice,,05:45:00,,Pacific Standard Time,15,0,Active,1,33.98434,-118.47155,False,11,0,1,False,2.174.257,POINT (-118.47155 33.98434)
59,2100 Pacific Ave,Venice,CA,90291,6,05:44:00,8,,,False,False,False,4211,Active,FullService,,Pacific & North Venice,,05:45:00,,Pacific Standard Time,14,0,Active,1,33.98493,-118.46996,False,5,0,1,False,2.174.257,POINT (-118.46996 33.98493)
60,140 Windward Ave,Venice,CA,90291,8,05:44:00,13,,,False,False,False,4212,Active,FullService,,Windward & Main,,05:45:00,,Pacific Standard Time,21,0,Active,1,33.98813,-118.47174,False,6,0,2,False,2.174.257,POINT (-118.47174 33.98813)
61,1150 7th Ave,Venice,CA,90291,9,05:44:00,6,,,False,False,False,4213,Active,FullService,,7th & Westminster,,05:45:00,,Pacific Standard Time,15,0,Active,1,33.99537,-118.4648,False,8,0,1,False,2.174.257,POINT (-118.4648 33.99537)
62,Ocean Front Walk at Navy St,Venice,CA,90291,11,05:44:00,15,,,False,False,False,4214,Active,FullService,,Ocean Front Walk & Navy,,05:45:00,,Pacific Standard Time,26,0,Active,1,33.99556,-118.48155,False,9,0,1,False,2.174.257,POINT (-118.48155 33.99556)
63,1621 4th St,Santa Monica,CA,90401,7,05:44:00,11,,,False,False,False,4215,Active,FullService,,Downtown Santa Monica E Line Station,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.01431,-118.49134,False,4,0,3,False,2.174.257,POINT (-118.49134 34.01431)
64,1610 Colorado Ave,Santa Monica,CA,90404,4,05:44:00,15,,,False,False,False,4216,Active,FullService,,17th St / SMC E Line Station,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.02339,-118.47964,False,2,0,2,False,2.174.257,POINT (-118.47964 34.02339)
65,1041 S Broadway,DTLA,CA,90015,9,05:44:00,10,,,False,False,False,4217,Active,FullService,,Broadway & 11th,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.04031,-118.25827,False,9,0,0,False,2.174.257,POINT (-118.25827 34.04031)
66,1610 Park Ave,Echo Park,CA,90026,5,05:44:00,10,,,False,False,False,4220,Unavailable,FullService,2023-06-02 02:17:29.348000+00:00,Park & Echo Park,,05:45:00,,Pacific Standard Time,15,0,Unresponsive,1,34.07483,-118.25873,False,5,0,0,False,2.174.257,POINT (-118.25873 34.07483)
67,2117 S Grand Ave,DTLA,CA,90015,9,05:44:00,6,,,False,False,False,4227,Active,FullService,,Grand / LATTC,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.0298,-118.27031,False,9,0,0,False,2.174.257,POINT (-118.27031 34.0298)
68,3451 University Ave,USC,CA,90007,7,05:44:00,8,,,False,False,False,4245,Active,FullService,,University & Hoover,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02404,-118.28341,False,7,0,0,False,2.174.257,POINT (-118.28341 34.02404)
69,699 W 32nd Street,USC,CA,90007,5,05:44:00,9,,,False,False,False,4246,Active,FullService,,32nd & Figueroa,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.02371,-118.27917,False,5,0,0,False,2.174.257,POINT (-118.27917 34.02371)
70,1369 W 25th Street,USC,CA,90007,6,05:44:00,2,,,False,False,False,4247,Active,FullService,,25th & Vermont,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.03364,-118.29131,False,5,0,1,False,2.174.257,POINT (-118.29131 34.03364)
71,1276 W 29th St,USC,CA,90007,7,05:44:00,12,,,False,False,False,4248,Active,FullService,,29th & Ellendale,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.02835,-118.28867,False,7,0,0,False,2.174.257,POINT (-118.28867 34.02835)
72,3499 S Figueroa St,USC,CA,90089,11,05:44:00,4,,,False,False,False,4249,Active,FullService,,Figueroa & McCarthy Way,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.0203,-118.28118,False,11,0,0,False,2.174.257,POINT (-118.28118 34.0203)
73,804 W Adams Blvd,USC,CA,90007,11,05:44:00,4,,,False,False,False,4250,Active,FullService,,Severance & Adams,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03017,-118.28095,False,10,0,1,False,2.174.257,POINT (-118.28095 34.03017)
74,2817 Hoover St,USC,CA,90007,9,05:44:00,6,,,False,False,False,4254,Active,FullService,,Hoover & 29th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02868,-118.28411,False,9,0,0,False,2.174.257,POINT (-118.28411 34.02868)
75,6020 Seabluff Dr,Playa Vista,CA,90094,4,05:44:00,6,,,False,False,False,4255,Active,FullService,,Seabluff & Runway,,05:45:00,,Pacific Standard Time,10,0,Active,1,33.97366,-118.42286,False,4,0,0,False,2.174.257,POINT (-118.42286 33.97366)
76,613 W 28th St,USC,CA,90007,7,05:44:00,8,,,False,False,False,4266,Active,FullService,,28th & Figueroa,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02629,-118.27769,False,7,0,0,False,2.174.257,POINT (-118.27769 34.02629)
77,737 W 28th St,USC,CA,90007,0,05:44:00,10,,,False,False,False,4267,Active,FullService,,28th & University,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.02762,-118.28068,False,0,0,0,False,2.174.257,POINT (-118.28068 34.02762)
78,3175 South Hoover Street,USC,CA,90007,5,05:44:00,10,,,False,False,False,4273,Active,FullService,,Hoover & 32nd,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02586,-118.2841,False,5,0,0,False,2.174.257,POINT (-118.2841 34.02586)
79,Southwest Stadium Entrance,USC,CA,90037,9,05:44:00,6,,,False,False,False,4275,Active,FullService,,Expo Park/LAFC,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.01252,-118.2859,False,9,0,0,False,2.174.257,POINT (-118.2859 34.01252)
80,300 S Westlake Ave,Westlake,CA,90057,0,05:44:00,9,,,False,False,False,4293,Active,FullService,,Westlake & 3rd,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.06228,-118.27152,False,0,0,0,False,2.174.257,POINT (-118.27152 34.06228)
81,1552 W Olympic Blvd,Westlake,CA,90015,5,05:44:00,9,,,False,False,False,4300,Active,FullService,,Union & Olympic,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.04887,-118.2743,False,3,0,2,False,2.174.257,POINT (-118.2743 34.04887)
82,4698-4680 Maubert Ave,Los Feliz,CA,90027,4,05:44:00,6,,,False,False,False,4301,Active,FullService,,Maubert & Vermont,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09905,-118.2915,False,4,0,0,False,2.174.257,POINT (-118.2915 34.09905)
83,1150 N Vermont Ave,Los Feliz,CA,90029,6,05:44:00,4,,,False,False,False,4302,Active,FullService,,Vermont Pl & Vermont ,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09249,-118.29144,False,4,0,2,False,2.174.257,POINT (-118.29144 34.09249)
84,4459 Sunset Blvd,Los Feliz,CA,90027,7,05:44:00,3,,,False,False,False,4303,Active,FullService,,Sunset & Virgil,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09801,-118.28707,False,7,0,0,False,2.174.257,POINT (-118.28707 34.09801)
85,629 Shatto Pl,Koreatown,CA,90005,5,05:44:00,6,,,False,False,False,4304,Active,FullService,,Shatto Pl & Wilshire,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.06258,-118.29009,False,5,0,0,False,2.174.257,POINT (-118.29009 34.06258)
86,3038 W 8th St,Koreatown,CA,90005,10,05:44:00,5,,,False,False,False,4306,Active,FullService,,8th & Vermont,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05765,-118.29218,False,8,0,2,False,2.174.257,POINT (-118.29218 34.05765)
87,3192 W 7th St,Koreatown,CA,90005,5,05:44:00,10,,,False,False,False,4311,Active,FullService,,7th & Berendo,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05969,-118.29466,False,4,0,1,False,2.174.257,POINT (-118.29466 34.05969)
88,662 S Westlake Ave,Westlake,CA,90057,8,05:44:00,7,,,False,False,False,4313,Active,FullService,,Westlake/MacArthur Park Station,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05681,-118.275,False,8,0,0,False,2.174.257,POINT (-118.275 34.05681)
89,2378 W 7th St,Westlake,CA,90057,9,05:44:00,6,,,False,False,False,4314,Active,FullService,,7th & Park View,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05771,-118.27976,False,8,0,1,False,2.174.257,POINT (-118.27976 34.05771)
90,694 South Union Avenue,Westlake,CA,90017,9,05:44:00,4,,,False,False,False,4315,Active,FullService,,Union & 7th,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.05403,-118.27092,False,8,0,1,False,2.174.257,POINT (-118.27092 34.05403)
91,777 Alameda St,DTLA,CA,90021,7,05:44:00,12,,,False,False,False,4387,Active,FullService,,Row DTLA,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03352,-118.24184,False,7,0,0,False,2.174.262,POINT (-118.24184 34.03352)
92,S Kenmore Ave & W 3rd St,Koreatown,CA,90004,7,05:44:00,5,,,False,False,False,4390,Active,FullService,,Kenmore & 3rd,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.06927,-118.29659,False,7,0,0,False,2.174.257,POINT (-118.29659 34.06927)
93,Vermont & Beverly ,Koreatown,CA,90004,7,05:44:00,4,,,False,False,False,4401,Active,FullService,,Vermont & Beverly,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.07561,-118.29186,False,6,0,1,False,2.174.257,POINT (-118.29186 34.07561)
94,919 Albany St,Westlake,CA,90015,9,05:44:00,6,,,False,False,False,4404,Active,FullService,,Albany & Olympic,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04813,-118.27103,False,9,0,0,False,2.174.257,POINT (-118.27103 34.04813)
95,Berendo & Olympic road,Koreatown,CA,90005,11,05:44:00,7,,,False,False,False,4405,Active,FullService,,Berendo & Olympic,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.0519,-118.29368,False,9,0,2,False,2.174.257,POINT (-118.29368 34.0519)
96,1689 N Normandie Ave,Los Feliz,CA,90027,5,05:44:00,9,,,False,False,False,4406,Active,FullService,,Normandie & Hollywood,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.10189,-118.30061,False,5,0,0,False,2.174.257,POINT (-118.30061 34.10189)
97,609 S Kenmore Ave,Koreatown,CA,90010,8,05:44:00,8,,,False,False,False,4410,Active,FullService,,Kenmore & 6th,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.06335,-118.2968,False,7,0,1,False,2.174.257,POINT (-118.2968 34.06335)
98,1900 N Vermont,Los Feliz,CA,90027,3,05:44:00,6,,,False,False,False,4436,Active,FullService,,Vermont & Franklin,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.10578,-118.29194,False,2,0,1,False,2.174.257,POINT (-118.29194 34.10578)
99,4500 Franklin Ave,Los Feliz,CA,90027,5,05:44:00,8,,,False,False,False,4437,Active,FullService,,Franklin & Hillhurst,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.10536,-118.28727,False,5,0,0,False,2.174.257,POINT (-118.28727 34.10536)
100,1254 N Hoover St,Silver Lake,CA,90029,8,05:44:00,6,,,False,False,False,4438,Active,FullService,,Hoover & Fountain,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.09493,-118.28456,False,8,0,0,False,2.174.257,POINT (-118.28456 34.09493)
101,4477 Santa Monica Blvd,Los Feliz,CA,90029,7,05:44:00,7,,,False,False,False,4439,Active,FullService,,Santa Monica & Virgil,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.09097,-118.28625,False,7,0,0,False,2.174.257,POINT (-118.28625 34.09097)
102,3420 Wilshire Blvd,Koreatown,CA,90010,13,05:44:00,5,,,False,False,False,4440,Active,FullService,,Wilshire & Alexandria,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.06166,-118.29824,False,12,0,1,False,2.174.257,POINT (-118.29824 34.06166)
